env_time,total_time,avg_simulation_second,event_store_size
260,0:00:02.630950,0:00:00.010119,251
261,0:00:02.675345,0:00:00.010250,251
262,0:00:02.675345,0:00:00.010211,251
263,0:00:02.682344,0:00:00.010199,251
264,0:00:02.682344,0:00:00.010160,251
265,0:00:02.682344,0:00:00.010122,251
266,0:00:02.682344,0:00:00.010084,251
267,0:00:02.682344,0:00:00.010046,251
268,0:00:02.682344,0:00:00.010009,251
269,0:00:02.682344,0:00:00.009972,251
270,0:00:02.682344,0:00:00.009935,251
271,0:00:02.682344,0:00:00.009898,251
272,0:00:02.682344,0:00:00.009862,251
273,0:00:02.682344,0:00:00.009825,251
274,0:00:02.682344,0:00:00.009790,275
275,0:00:02.891344,0:00:00.010514,265
276,0:00:02.891344,0:00:00.010476,265
277,0:00:02.891344,0:00:00.010438,265
278,0:00:02.917343,0:00:00.010494,265
279,0:00:02.917343,0:00:00.010456,265
280,0:00:02.931603,0:00:00.010470,265
281,0:00:02.946602,0:00:00.010486,265
282,0:00:02.946602,0:00:00.010449,265
283,0:00:02.954604,0:00:00.010440,265
284,0:00:02.954604,0:00:00.010404,265
285,0:00:02.954604,0:00:00.010367,265
286,0:00:02.963605,0:00:00.010362,265
287,0:00:02.963605,0:00:00.010326,265
288,0:00:02.963605,0:00:00.010290,265
289,0:00:02.963605,0:00:00.010255,265
290,0:00:02.963605,0:00:00.010219,265
291,0:00:02.963605,0:00:00.010184,265
292,0:00:02.963605,0:00:00.010149,265
293,0:00:02.963605,0:00:00.010115,265
294,0:00:02.963605,0:00:00.010080,271
295,0:00:03.009605,0:00:00.010202,268
296,0:00:03.009605,0:00:00.010168,268
297,0:00:03.009605,0:00:00.010133,268
298,0:00:03.016602,0:00:00.010123,268
299,0:00:03.016602,0:00:00.010089,268
300,0:00:03.016602,0:00:00.010055,268
301,0:00:03.016602,0:00:00.010022,268
302,0:00:03.016602,0:00:00.009989,268
303,0:00:03.032604,0:00:00.010009,268
304,0:00:03.032604,0:00:00.009976,304
305,0:00:03.424309,0:00:00.011227,285
306,0:00:03.425311,0:00:00.011194,285
307,0:00:03.425311,0:00:00.011157,285
308,0:00:03.481818,0:00:00.011305,285
